Axle Type,Shoulder,P(kN),del T (C),k (MPa/m),h (m),l (m),S (kN)
Single,with concrete shoulders,160,0,150,0.2,0.6077,3.1808
Single,with concrete shoulders,160,0,150,0.25,0.7184,1.9843
Single,with concrete shoulders,160,0,150,0.3,0.8237,1.3271
Single,with concrete shoulders,160,0,150,0.35,0.9247,0.9252
Single,with concrete shoulders,160,0,150,0.4,1.0221,0.6597
Single,with concrete shoulders,160,0,300,0.15,0.4119,4.5809
Single,with concrete shoulders,160,0,300,0.2,0.511,2.6156
Single,with concrete shoulders,160,0,300,0.25,0.6041,1.7082
Single,with concrete shoulders,160,0,300,0.3,0.6927,1.217
Single,with concrete shoulders,160,0,300,0.35,0.7775,0.9222
Single,with concrete shoulders,160,0,300,0.4,0.8594,0.7319
Single,with concrete shoulders,160,10,40,0.15,0.6816,6.658
Single,with concrete shoulders,160,10,40,0.2,0.8457,3.7597
Single,with concrete shoulders,160,10,40,0.25,0.9998,2.4067
Single,with concrete shoulders,160,10,40,0.3,1.1463,1.6629
Single,with concrete shoulders,160,10,40,0.35,1.2867,1.2076
Single,with concrete shoulders,160,10,40,0.4,1.4223,0.9063
Single,with concrete shoulders,160,10,80,0.15,0.5731,6.7101
Single,with concrete shoulders,160,10,80,0.2,0.7111,3.8198
Single,with concrete shoulders,160,10,80,0.25,0.8407,2.4739
Single,with concrete shoulders,160,10,80,0.3,0.9639,1.7366
Single,with concrete shoulders,160,10,80,0.35,1.082,1.2871
Single,with concrete shoulders,160,10,80,0.4,1.196,0.9914
Single,with concrete shoulders,160,10,150,0.15,0.4898,6.1547
Single,with concrete shoulders,160,10,150,0.2,0.6077,3.5898
Single,with concrete shoulders,160,10,150,0.25,0.7184,2.3933
Single,with concrete shoulders,160,10,150,0.3,0.8237,1.7361
Single,with concrete shoulders,160,10,150,0.35,0.9247,1.3342
Single,with concrete shoulders,160,10,150,0.4,1.0221,1.0687
Single,with concrete shoulders,160,10,300,0.15,0.4119,5.1029
Single,with concrete shoulders,160,10,300,0.2,0.511,3.1376
Single,with concrete shoulders,160,10,300,0.25,0.6041,2.2302
Single,with concrete shoulders,160,10,300,0.3,0.6927,1.739
Single,with concrete shoulders,160,10,300,0.35,0.7775,1.4442
Single,with concrete shoulders,160,10,300,0.4,0.8594,1.2539
Single,with concrete shoulders,160,15,40,0.15,0.6816,6.791
Single,with concrete shoulders,160,15,40,0.2,0.8457,3.8927
Single,with concrete shoulders,160,15,40,0.25,0.9998,2.5397
Single,with concrete shoulders,160,15,40,0.3,1.1463,1.7959
Single,with concrete shoulders,160,15,40,0.35,1.2867,1.3406
Single,with concrete shoulders,160,15,40,0.4,1.4223,1.0393
Single,with concrete shoulders,160,15,80,0.15,0.5731,6.8431
Single,with concrete shoulders,160,15,80,0.2,0.7111,3.9528
Single,with concrete shoulders,160,15,80,0.25,0.8407,2.6069
Single,with concrete shoulders,160,15,80,0.3,0.9639,1.8696
Single,with concrete shoulders,160,15,80,0.35,1.082,1.4201
Single,with concrete shoulders,160,15,80,0.4,1.196,1.1244
