Axle Type,Shoulders,P (kN),delT (degreeC),k (MPa/m),h (m),l (m),S (MPa)
Single,with concrete shoulders,120,0,80,0.25,0.8406947211160212,1.6173403175204761
Single,with concrete shoulders,120,0,80,0.3,0.9638828540814753,1.0604914219759352
Single,with concrete shoulders,120,0,80,0.35,1.0820176551682907,0.7198225428165541
Single,with concrete shoulders,120,0,80,0.4,1.195992090151228,0.49470045320203876
Single,with concrete shoulders,120,0,150,0.15,0.48978044354353356,4.292926915402954
Single,with concrete shoulders,120,0,150,0.2,0.6077227475397252,2.3636537349248146
Single,with concrete shoulders,120,0,150,0.25,0.7184358613575632,1.461268708382005
Single,with concrete shoulders,120,0,150,0.3,0.8237092384742634,0.9639320821926027
Single,with concrete shoulders,120,0,150,0.35,0.9246641694894633,0.6583803138253536
Single,with concrete shoulders,120,0,150,0.4,1.0220637597485862,0.45542304058763683
Single,with concrete shoulders,120,0,300,0.15,0.4118546192371317,3.4548341148289716
Single,with concrete shoulders,120,0,300,0.2,0.5110318798742931,1.9822058430177665
Single,with concrete shoulders,120,0,300,0.25,0.6041301404052896,1.3028272102031297
Single,with concrete shoulders,120,0,300,0.3,0.6926541458443751,0.9354834663694227
Single,with concrete shoulders,120,0,300,0.35,0.7775467854372428,0.7153364444924072
Single,with concrete shoulders,120,0,300,0.4,0.8594497517333199,0.5735569529561512
Single,with concrete shoulders,120,10,40,0.15,0.6815681023904547,5.017531421975934
Single,with concrete shoulders,120,10,40,0.2,0.845694117191406,2.836910453202039
Single,with concrete shoulders,120,10,40,0.25,0.9997601438964008,1.8160890664257174
Single,with concrete shoulders,120,10,40,0.3,1.14625634810282,1.2528213674858488
Single,with concrete shoulders,120,10,40,0.35,1.286743094084692,0.9062497894185833
Single,with concrete shoulders,120,10,40,0.4,1.4222823030948162,0.675633601619907
Single,with concrete shoulders,120,10,80,0.15,0.57312817405141,5.069624017076258
Single,with concrete shoulders,120,10,80,0.2,0.7111411515474081,2.8970618008099533
Single,with concrete shoulders,120,10,80,0.25,0.8406947211160212,1.8833403175204761
Single,with concrete shoulders,120,10,80,0.3,0.9638828540814753,1.3264914219759352
Single,with concrete shoulders,120,10,80,0.35,1.0820176551682907,0.9858225428165541
Single,with concrete shoulders,120,10,80,0.4,1.195992090151228,0.7607004532020387
Single,with concrete shoulders,120,10,150,0.15,0.48978044354353356,4.701926915402954
Single,with concrete shoulders,120,10,150,0.2,0.6077227475397252,2.7726537349248144
Single,with concrete shoulders,120,10,150,0.25,0.7184358613575632,1.870268708382005
Single,with concrete shoulders,120,10,150,0.3,0.8237092384742634,1.3729320821926028
Single,with concrete shoulders,120,10,150,0.35,0.9246641694894633,1.0673803138253535
Single,with concrete shoulders,120,10,150,0.4,1.0220637597485862,0.8644230405876367
Single,with concrete shoulders,120,10,300,0.15,0.4118546192371317,3.9768341148289714
Single,with concrete shoulders,120,10,300,0.2,0.5110318798742931,2.5042058430177665
Single,with concrete shoulders,120,10,300,0.25,0.6041301404052896,1.8248272102031298
Single,with concrete shoulders,120,10,300,0.3,0.6926541458443751,1.4574834663694227
Single,with concrete shoulders,120,10,300,0.35,0.7775467854372428,1.2373364444924073
Single,with concrete shoulders,120,10,300,0.4,0.8594497517333199,1.095556952956151
Single,with concrete shoulders,120,15,40,0.15,0.6815681023904547,5.150531421975934
Single,with concrete shoulders,120,15,40,0.2,0.845694117191406,2.969910453202039
Single,with concrete shoulders,120,15,40,0.25,0.9997601438964008,1.9490890664257174
Single,with concrete shoulders,120,15,40,0.3,1.14625634810282,1.3858213674858486
Single,with concrete shoulders,120,15,40,0.35,1.286743094084692,1.0392497894185833
Single,with concrete shoulders,120,15,40,0.4,1.4222823030948162,0.8086336016199069
Single,with concrete shoulders,120,15,80,0.15,0.57312817405141,5.202624017076258
Single,with concrete shoulders,120,15,80,0.2,0.7111411515474081,3.0300618008099534
Single,with concrete shoulders,120,15,80,0.25,0.8406947211160212,2.016340317520476
Single,with concrete shoulders,120,15,80,0.3,0.9638828540814753,1.4594914219759352
Single,with concrete shoulders,120,15,80,0.35,1.0820176551682907,1.1188225428165541
Single,with concrete shoulders,120,15,80,0.4,1.195992090151228,0.8937004532020387
Single,with concrete shoulders,120,15,150,0.15,0.48978044354353356,4.906426915402954
Single,with concrete shoulders,120,15,150,0.2,0.6077227475397252,2.9771537349248147
Single,with concrete shoulders,120,15,150,0.25,0.7184358613575632,2.0747687083820052
Single,with concrete shoulders,120,15,150,0.3,0.8237092384742634,1.5774320821926027
Single,with concrete shoulders,120,15,150,0.35,0.9246641694894633,1.2718803138253536
Single,with concrete shoulders,120,15,150,0.4,1.0220637597485862,1.0689230405876367
Single,with concrete shoulders,120,15,300,0.15,0.4118546192371317,4.2378341148289715
Single,with concrete shoulders,120,15,300,0.2,0.5110318798742931,2.7652058430177666
Single,with concrete shoulders,120,15,300,0.25,0.6041301404052896,2.0858272102031297
Single,with concrete shoulders,120,15,300,0.3,0.6926541458443751,1.7184834663694226
Single,with concrete shoulders,120,15,300,0.35,0.7775467854372428,1.4983364444924072
Single,with concrete shoulders,120,15,300,0.4,0.8594497517333199,1.3565569529561512
Single,with concrete shoulders,120,20,40,0.15,0.6815681023904547,5.283531421975934
Single,with concrete shoulders,120,20,40,0.2,0.845694117191406,3.102910453202039
Single,with concrete shoulders,120,20,40,0.25,0.9997601438964008,2.0820890664257172
Single,with concrete shoulders,120,20,40,0.3,1.14625634810282,1.5188213674858488
Single,with concrete shoulders,120,20,40,0.35,1.286743094084692,1.1722497894185833
Single,with concrete shoulders,120,20,40,0.4,1.4222823030948162,0.9416336016199071
Single,with concrete shoulders,120,20,80,0.15,0.57312817405141,5.335624017076258
Single,with concrete shoulders,120,20,80,0.2,0.7111411515474081,3.1630618008099534
Single,with concrete shoulders,120,20,80,0.25,0.8406947211160212,2.149340317520476
Single,with concrete shoulders,120,20,80,0.3,0.9638828540814753,1.5924914219759352
Single,with concrete shoulders,120,20,80,0.35,1.0820176551682907,1.2518225428165541
Single,with concrete shoulders,120,20,80,0.4,1.195992090151228,1.0267004532020387
Single,with concrete shoulders,120,20,150,0.15,0.48978044354353356,5.1109269154029535
Single,with concrete shoulders,120,20,150,0.2,0.6077227475397252,3.1816537349248146
Single,with concrete shoulders,120,20,150,0.25,0.7184358613575632,2.279268708382005
Single,with concrete shoulders,120,20,150,0.3,0.8237092384742634,1.7819320821926028
Single,with concrete shoulders,120,20,150,0.35,0.9246641694894633,1.4763803138253535
Single,with concrete shoulders,120,20,150,0.4,1.0220637597485862,1.2734230405876368
Single,with concrete shoulders,120,20,300,0.15,0.4118546192371317,4.498834114828972
Single,with concrete shoulders,120,20,300,0.2,0.5110318798742931,3.0262058430177667
Single,with concrete shoulders,120,20,300,0.25,0.6041301404052896,2.34682721020313
Single,with concrete shoulders,120,20,300,0.3,0.6926541458443751,1.9794834663694227
Single,with concrete shoulders,120,20,300,0.35,0.7775467854372428,1.7593364444924071
Single,with concrete shoulders,120,20,300,0.4,0.8594497517333199,1.6175569529561513
Single,with concrete shoulders,160,0,40,0.15,0.6815681023904547,6.3919936441981555
Single,with concrete shoulders,160,0,40,0.2,0.845694117191406,3.4936704532020393
Single,with concrete shoulders,160,0,40,0.25,0.9997601438964008,2.1406554664257174
Single,with concrete shoulders,160,0,40,0.3,1.14625634810282,1.3969369230414044
Single,with concrete shoulders,160,0,40,0.35,1.286743094084692,0.9415591771736851
Single,with concrete shoulders,160,0,40,0.4,1.4222823030948162,0.640323601619907
Single,with concrete shoulders,160,0,80,0.15,0.57312817405141,6.44408623929848
Single,with concrete shoulders,160,0,80,0.2,0.7111411515474081,3.553821800809953
Single,with concrete shoulders,160,0,80,0.25,0.8406947211160212,2.2079067175204763
Single,with concrete shoulders,160,0,80,0.3,0.9638828540814753,1.4706069775314907
Single,with concrete shoulders,160,0,80,0.35,1.0820176551682907,1.021131930571656
Single,with concrete shoulders,160,0,80,0.4,1.195992090151228,0.7253904532020388
Single,with concrete shoulders,160,0,150,0.15,0.48978044354353356,5.745709137625176
Single,with concrete shoulders,160,0,150,0.2,0.6077227475397252,3.1808437349248146
Single,with concrete shoulders,160,0,150,0.25,0.7184358613575632,1.9842703083820046
Single,with concrete shoulders,160,0,150,0.3,0.8237092384742634,1.3271276377481585
Single,with concrete shoulders,160,0,150,0.35,0.9246641694894633,0.9252178648457616
Single,with concrete shoulders,160,0,150,0.4,1.0220637597485862,0.6597205405876369
Single,with concrete shoulders,160,0,300,0.15,0.4118546192371317,4.580914114828972
Single,with concrete shoulders,160,0,300,0.2,0.5110318798742931,2.615625843017767
Single,with concrete shoulders,160,0,300,0.25,0.6041301404052896,1.7082160102031296
Single,with concrete shoulders,160,0,300,0.3,0.6926541458443751,1.2170034663694227
Single,with concrete shoulders,160,0,300,0.35,0.7775467854372428,0.9221674649005707
Single,with concrete shoulders,160,0,300,0.4,0.8594497517333199,0.7319119529561512
Single,with concrete shoulders,160,10,40,0.15,0.6815681023904547,6.6579936441981555
Single,with concrete shoulders,160,10,40,0.2,0.845694117191406,3.7596704532020393
Single,with concrete shoulders,160,10,40,0.25,0.9997601438964008,2.4066554664257174
Single,with concrete shoulders,160,10,40,0.3,1.14625634810282,1.6629369230414044
Single,with concrete shoulders,160,10,40,0.35,1.286743094084692,1.207559177173685
Single,with concrete shoulders,160,10,40,0.4,1.4222823030948162,0.906323601619907
Single,with concrete shoulders,160,10,80,0.15,0.57312817405141,6.71008623929848
Single,with concrete shoulders,160,10,80,0.2,0.7111411515474081,3.819821800809953
Single,with concrete shoulders,160,10,80,0.25,0.8406947211160212,2.4739067175204763
Single,with concrete shoulders,160,10,80,0.3,0.9638828540814753,1.7366069775314907
Single,with concrete shoulders,160,10,80,0.35,1.0820176551682907,1.287131930571656
Single,with concrete shoulders,160,10,80,0.4,1.195992090151228,0.9913904532020388
Single,with concrete shoulders,160,10,150,0.15,0.48978044354353356,6.154709137625176
Single,with concrete shoulders,160,10,150,0.2,0.6077227475397252,3.5898437349248145
Single,with concrete shoulders,160,10,150,0.25,0.7184358613575632,2.3932703083820046
Single,with concrete shoulders,160,10,150,0.3,0.8237092384742634,1.7361276377481585
Single,with concrete shoulders,160,10,150,0.35,0.9246641694894633,1.3342178648457617
Single,with concrete shoulders,160,10,150,0.4,1.0220637597485862,1.0687205405876368
Single,with concrete shoulders,160,10,300,0.15,0.4118546192371317,5.102914114828972
Single,with concrete shoulders,160,10,300,0.2,0.5110318798742931,3.1376258430177666
Single,with concrete shoulders,160,10,300,0.25,0.6041301404052896,2.2302160102031294
Single,with concrete shoulders,160,10,300,0.3,0.6926541458443751,1.7390034663694227
Single,with concrete shoulders,160,10,300,0.35,0.7775467854372428,1.4441674649005707
Single,with concrete shoulders,160,10,300,0.4,0.8594497517333199,1.2539119529561513
Single,with concrete shoulders,160,15,40,0.15,0.6815681023904547,6.7909936441981555
Single,with concrete shoulders,160,15,40,0.2,0.845694117191406,3.8926704532020393
Single,with concrete shoulders,160,15,40,0.25,0.9997601438964008,2.5396554664257174
Single,with concrete shoulders,160,15,40,0.3,1.14625634810282,1.7959369230414044
Single,with concrete shoulders,160,15,40,0.35,1.286743094084692,1.3405591771736851
Single,with concrete shoulders,160,15,40,0.4,1.4222823030948162,1.039323601619907
Single,with concrete shoulders,160,15,80,0.15,0.57312817405141,6.84308623929848
Single,with concrete shoulders,160,15,80,0.2,0.7111411515474081,3.952821800809953
Single,with concrete shoulders,160,15,80,0.25,0.8406947211160212,2.6069067175204763
Single,with concrete shoulders,160,15,80,0.3,0.9638828540814753,1.8696069775314907
Single,with concrete shoulders,160,15,80,0.35,1.0820176551682907,1.420131930571656
Single,with concrete shoulders,160,15,80,0.4,1.195992090151228,1.1243904532020388
Single,with concrete shoulders,160,15,150,0.15,0.48978044354353356,6.359209137625176
Single,with concrete shoulders,160,15,150,0.2,0.6077227475397252,3.794343734924815
Single,with concrete shoulders,160,15,150,0.25,0.7184358613575632,2.5977703083820045
Single,with concrete shoulders,160,15,150,0.3,0.8237092384742634,1.9406276377481584
Single,with concrete shoulders,160,15,150,0.35,0.9246641694894633,1.5387178648457616
Single,with concrete shoulders,160,15,150,0.4,1.0220637597485862,1.2732205405876367
Single,with concrete shoulders,160,15,300,0.15,0.4118546192371317,5.363914114828972
Single,with concrete shoulders,160,15,300,0.2,0.5110318798742931,3.3986258430177667
Single,with concrete shoulders,160,15,300,0.25,0.6041301404052896,2.4912160102031295
Single,with concrete shoulders,160,15,300,0.3,0.6926541458443751,2.0000034663694226
Single,with concrete shoulders,160,15,300,0.35,0.7775467854372428,1.7051674649005708
