Axle Type,Shoulder,P(kN),del T (C),k (MPa/m),h (m),l (m),S (kN)
Single,with concrete shoulders,120,13,40,0.35,1.2867,0.986
Single,with concrete shoulders,120,13,40,0.4,1.4223,0.7554
Single,with concrete shoulders,120,13,80,0.15,0.5731,5.1494
Single,with concrete shoulders,120,13,80,0.2,0.7111,2.9769
Single,with concrete shoulders,120,13,80,0.25,0.8407,1.9631
Single,with concrete shoulders,120,13,80,0.3,0.9639,1.4063
Single,with concrete shoulders,120,13,80,0.35,1.082,1.0656
Single,with concrete shoulders,120,13,80,0.4,1.196,0.8405
Single,with concrete shoulders,120,13,150,0.15,0.4898,4.8246
Single,with concrete shoulders,120,13,150,0.2,0.6077,2.8954
Single,with concrete shoulders,120,13,150,0.25,0.7184,1.993
Single,with concrete shoulders,120,13,150,0.3,0.8237,1.4956
Single,with concrete shoulders,120,13,150,0.35,0.9247,1.1901
Single,with concrete shoulders,120,13,150,0.4,1.0221,0.9871
Single,with concrete shoulders,120,13,300,0.15,0.4119,4.1334
Single,with concrete shoulders,120,13,300,0.2,0.511,2.6608
Single,with concrete shoulders,120,13,300,0.25,0.6041,1.9814
Single,with concrete shoulders,120,13,300,0.3,0.6927,1.6141
Single,with concrete shoulders,120,13,300,0.35,0.7775,1.3939
Single,with concrete shoulders,120,13,300,0.4,0.8594,1.2522
Single,with concrete shoulders,120,17,40,0.15,0.6816,5.2037
Single,with concrete shoulders,120,17,40,0.2,0.8457,3.0231
Single,with concrete shoulders,120,17,40,0.25,0.9998,2.0023
Single,with concrete shoulders,120,17,40,0.3,1.1463,1.439
Single,with concrete shoulders,120,17,40,0.35,1.2867,1.0924
Single,with concrete shoulders,120,17,40,0.4,1.4223,0.8618
Single,with concrete shoulders,120,17,80,0.15,0.5731,5.2558
Single,with concrete shoulders,120,17,80,0.2,0.7111,3.0833
Single,with concrete shoulders,120,17,80,0.25,0.8407,2.0695
Single,with concrete shoulders,120,17,80,0.3,0.9639,1.5127
Single,with concrete shoulders,120,17,80,0.35,1.082,1.172
Single,with concrete shoulders,120,17,80,0.4,1.196,0.9469
Single,with concrete shoulders,120,17,150,0.15,0.4898,4.9882
Single,with concrete shoulders,120,17,150,0.2,0.6077,3.059
Single,with concrete shoulders,120,17,150,0.25,0.7184,2.1566
Single,with concrete shoulders,120,17,150,0.3,0.8237,1.6592
Single,with concrete shoulders,120,17,150,0.35,0.9247,1.3537
Single,with concrete shoulders,120,17,150,0.4,1.0221,1.1507
Single,with concrete shoulders,120,17,300,0.15,0.4119,4.3422
Single,with concrete shoulders,120,17,300,0.2,0.511,2.8696
Single,with concrete shoulders,120,17,300,0.25,0.6041,2.1902
Single,with concrete shoulders,120,17,300,0.3,0.6927,1.8229
Single,with concrete shoulders,120,17,300,0.35,0.7775,1.6027
Single,with concrete shoulders,120,17,300,0.4,0.8594,1.461
Single,with concrete shoulders,120,21,40,0.15,0.6816,5.3101
Single,with concrete shoulders,120,21,40,0.2,0.8457,3.1295
Single,with concrete shoulders,120,21,40,0.25,0.9998,2.1087
Single,with concrete shoulders,120,21,40,0.3,1.1463,1.5454
Single,with concrete shoulders,120,21,40,0.35,1.2867,1.1988
Single,with concrete shoulders,120,21,40,0.4,1.4223,0.9682
Single,with concrete shoulders,120,21,80,0.15,0.5731,5.3622
Single,with concrete shoulders,120,21,80,0.2,0.7111,3.1897
Single,with concrete shoulders,120,21,80,0.25,0.8407,2.1759
Single,with concrete shoulders,120,21,80,0.3,0.9639,1.6191
Single,with concrete shoulders,120,21,80,0.35,1.082,1.2784
Single,with concrete shoulders,120,21,80,0.4,1.196,1.0533
Single,with concrete shoulders,120,21,150,0.15,0.4898,5.1518
Single,with concrete shoulders,120,21,150,0.2,0.6077,3.2226
Single,with concrete shoulders,120,21,150,0.25,0.7184,2.3202
Single,with concrete shoulders,120,21,150,0.3,0.8237,1.8228
Single,with concrete shoulders,120,21,150,0.35,0.9247,1.5173
Single,with concrete shoulders,120,21,150,0.4,1.0221,1.3143
Single,with concrete shoulders,120,21,300,0.15,0.4119,4.551
Single,with concrete shoulders,120,21,300,0.2,0.511,3.0784
Single,with concrete shoulders,120,21,300,0.25,0.6041,2.399
Single,with concrete shoulders,120,21,300,0.3,0.6927,2.0317
Single,with concrete shoulders,120,21,300,0.35,0.7775,1.8115
Single,with concrete shoulders,120,21,300,0.4,0.8594,1.6698
Single,with concrete shoulders,160,0,40,0.15,0.6816,6.392
Single,with concrete shoulders,160,0,40,0.2,0.8457,3.4937
Single,with concrete shoulders,160,0,40,0.25,0.9998,2.1407
Single,with concrete shoulders,160,0,40,0.3,1.1463,1.3969
Single,with concrete shoulders,160,0,40,0.35,1.2867,0.9416
Single,with concrete shoulders,160,0,40,0.4,1.4223,0.6403
Single,with concrete shoulders,160,0,80,0.15,0.5731,6.4441
Single,with concrete shoulders,160,0,80,0.2,0.7111,3.5538
Single,with concrete shoulders,160,0,80,0.25,0.8407,2.2079
Single,with concrete shoulders,160,0,80,0.3,0.9639,1.4706
Single,with concrete shoulders,160,0,80,0.35,1.082,1.0211
Single,with concrete shoulders,160,0,80,0.4,1.196,0.7254
Single,with concrete shoulders,160,0,150,0.15,0.4898,5.7457
Single,with concrete shoulders,160,0,150,0.2,0.6077,3.1808
Single,with concrete shoulders,160,0,150,0.25,0.7184,1.9843
Single,with concrete shoulders,160,0,150,0.3,0.8237,1.3271
Single,with concrete shoulders,160,0,150,0.35,0.9247,0.9252
Single,with concrete shoulders,160,0,150,0.4,1.0221,0.6597
Single,with concrete shoulders,160,0,300,0.15,0.4119,4.5809
Single,with concrete shoulders,160,0,300,0.2,0.511,2.6156
Single,with concrete shoulders,160,0,300,0.25,0.6041,1.7082
Single,with concrete shoulders,160,0,300,0.3,0.6927,1.217
Single,with concrete shoulders,160,0,300,0.35,0.7775,0.9222
Single,with concrete shoulders,160,0,300,0.4,0.8594,0.7319
Single,with concrete shoulders,160,8,40,0.15,0.6816,6.6048
Single,with concrete shoulders,160,8,40,0.2,0.8457,3.7065
Single,with concrete shoulders,160,8,40,0.25,0.9998,2.3535
Single,with concrete shoulders,160,8,40,0.3,1.1463,1.6097
Single,with concrete shoulders,160,8,40,0.35,1.2867,1.1544
Single,with concrete shoulders,160,8,40,0.4,1.4223,0.8531
Single,with concrete shoulders,160,8,80,0.15,0.5731,6.6569
Single,with concrete shoulders,160,8,80,0.2,0.7111,3.7666
Single,with concrete shoulders,160,8,80,0.25,0.8407,2.4207
Single,with concrete shoulders,160,8,80,0.3,0.9639,1.6834
Single,with concrete shoulders,160,8,80,0.35,1.082,1.2339
